decimals,id,name,symbol
18,0x1d64b45ef4c052d18062f97ac80d6dc395ce8660,duck with four,dwf
18,0x1d653d3a3c203aad57ae69e0d721f316ee385b7c,CatBros,CTBR
18,0x1d65cb57efb96c674aede0c3423d41fc6fb76fe7,LayerDao,LDAO
18,0x1d676fadaeff080e4e69115c6c403702432ad528,BBAI,BBAI
18,0x1d6822482be483655b3dbb38f9737d5ee9731909,LIM,Agentless
6,0x1d699d614eb2c23fe1ca71ebd4cb2cb11fec0bb4,EILON MASK,Mask2
18,0x1d6cbdc6b29c6afbae65444a1f65ba9252b8ca83,TOR,TOR
9,0x1d6e790bd0ed3a54c4d154c57352aaf9a8c09011,BITCOIN HALVING,BTC HALVING
18,0x1d70916b218db27b2e8c68f9aef4de36ed1d3e8c,FairMint BROCH,BROCH
18,0x1d7111123672bcabe3eaef68ab2f8b44f858b055,EURO2024GERMANY,EURO2024
9,0x1d718ea21e7939dc4d0dc4678fb02710fdb0e8ef,Freelance Coin,FREELANCE
18,0x1d720a2bab4e1ad96512f14fbbd86c9910f146b9,MOODENG,MOODENG
18,0x1d7230f332a5905cf1a8f7580b7a412a32f97539,Grok,Grok
18,0x1d745e9a6e177afe3e1c127afba49df56ba56c8a,Zoe,Zoe
5,0x1d749b6515e3a3a180eed8cc91590b4c413a0ac5,KAIROS,LEON
18,0x1d74d278800212adca5f358643fc1bdf5ea5866f,spore,spore
18,0x1d75532d214ba177976f92726137599f729d5664,TestToken,TT
18,0x1d77286a1340add236b6e278c611bd5259f5469b,MELONI,mELONi
18,0x1d773744e27137675e16a0e81bc60d718e29da43,s v,s v s
18,0x1d7769b75e2a348452eaf641e2b53cd7b0e95195,Nisse Token,CHALLGE
18,0x1d77745c2d0c13ba4fa77264fe2df7c716ef15ad,fdgdg,gddd
18,0x1d7792e0f5230e43aad7f91c76c1e91eb2499392,DogWifMagnet,DWM
18,0x1d79cfeb83b6a21451c15c780966a49a610bb60c,Early Trade Rush,ETRADE
18,0x1d7aad7227bb430a950e8d8cea632a37d67a6700,Tether,USDT
18,0x1d7cdaa1c51e2495ae5186cd52886b1fbbc1633a,HOT FIRE,FIRE
18,0x1d7fd83f4a5f4da1fed65010d5843ff9b8eace49,Orien,18
18,0x1d80fb742006a412c3c599faab5b1b517c3ce56b,Klaus Duck,KDUCK
18,0x1d829751e350c71760bbdac90c61685bfea455a3,test,TEST
18,0x1d82e742fd412eb6c3919a3a9fa78cc0b1890511,XRP3.0,XRP3.0
2,0x1d82f54dd60dfecf657844841ff7fe9eb6031443,CZ AIBNT1,CABT1
7,0x1d83780fb231828d80e1514771e1cb02c78e8fa3,Astronaut,ASTRO
18,0x1d83a6590e792aa4f17e2e4d68570397733d3bde,Victory Chain,VICTRY
5,0x1d843e02f41db776150d216a17f7ddf9681f8abc,PSYOP For MEME,PSYOP
8,0x1d862695ddff862a37eecf285d808471b4995742,BNBpi,PI BNB
18,0x1d869d5486866a2e3e743d8abebd50a9bc33c55c,SimonsCat,$SCAT
18,0x1d86dcf3efe6968c9435222279f031e785a5385e,HORYZEN,ZEN
18,0x1d8887a2f31d18f964827874104240a4ecf4d5b8,SCAMSTER,SCAMSTER
9,0x1d8944eb843f7bdc2493e61a2a3b21e329cd4b0d,RiceCoin,MIFAN
18,0x1d8dc4e1b4313e49ac41dafbd71c068724ca8f6c,sbfigreug,jisgrf
9,0x1d8dee9cb6fb142ea4d9df025cc31461c129aa19,MemesHub,MHT
18,0x1d8e604893e4aefafc4ad9a2a6277e9b730a18cb,Relaxed Crew,RECREW
18,0x1d8e967530be582a10aee4fe4bbadb08d28bd55e,PANDEMIC LABS,PANLABS
18,0x1d8eca40453a728dd191acc4249aed3e5a8cf133,Incognito,NITO
18,0x1d9000bc4083f0adf0c6c7ede06facfd282b6997,GoldGra,Grag
18,0x1d91824da4b151f1fc88e07793594d2e66de0531,dfhfgjulggrge,fbfgb
9,0x1d919c75daac402a2649fc5ccc5ab97a1a71f633,RiceToken,Rice
18,0x1d938528151cbfe4dd8fbac1de7318efd2daaaae,BellionairCoin,BC
