decimals,id,name,symbol
18,0x04f531993ff309b32387adcbaa3a5808a5117b4e,DogeMobile,DPHN
18,0x04f73a09e2eb410205be256054794fb452f0d245,DxSale.Network,SALE
18,0x04f909988d7b5021e1637a363696128306b7547e,Astralite,AST
18,0x04f97bc4e942a5c3fb8e180a885f87819fa18a61,Wrapped Ocvcoin,WOCV
18,0x04f9852b4b5ad2e7e0761f0caa1f78d9839337fb,HODLNAUT,HODLNAUT
18,0x04fa9eb295266d9d4650edcb879da204887dc3da,OSK,OSK
18,0x04fd1dc5ff7102f0705cff4d0325bb04b906adcb,M1 Coin,M1
18,0x04fe9debd258f890caca1f8abc52693205ea51c7,NAY,LWIS
18,0x04ff55404efebbf1ded525a172f33341ab3785f5,elon,ELON
18,0x05044675ca7027bc9770edcdd94c3bf21820313f,GRACHEF,GRC
18,0x0504869f815ec49d59b3fd3f18a78d7e6714d055,FANTOM,FTM
18,0x050556137cfe68a2c78a229639075a8b29ab016f,HIMARS,HMRS
18,0x0505a7f7964bd743ac573a0c7df9d60e65042a5d,Mega Chungus AI,CHUAI
18,0x0505efad2f885705c4035848349ec54cc8b993a0,fantasy coin,FTY
18,0x050666a1f114ccd923aa5d16eb97516527e1b7ec,ee,fef
18,0x0508a1efce4cce14a3cceecb267ce794bb49c986,BLOCKCHAIR,BKCR
18,0x050952d50b1a3c6533e602fb19206e56bb7ff893,NeiroCoin,NER
18,0x0509688fb855fee4a76303e8d78afa7f2f385c9a,Metaross,MST
18,0x050a776f1988bacf61b4b61850e6ff65a5a44cb2,BabyBONK Coin,BabyBONK
18,0x050a91e06b950b7a947c1a76f753eeddc40d2c2a,LordKade,LOC
18,0x050ef035403e4c5b366818decbfd3c6bff3f73c6,The Memeinator,MMTR
18,0x050f42ea85ecf060d8d6a76062baa9abd9b26dbe,Baby Grass,BBG
18,0x051027ba9924a0cb32494ab2ff8c4b7d3e282ae8,LUUDS,LUUDS 
18,0x05120c9fcd0dfbd9a1a0a900c0a0e7eec71bd052,fastival,fastival
18,0x0513ba1c31b118d4fa5077a659b1f2a084b1541a,MIMI,MIMI
18,0x0514466ab5606b2c58a7fc19d37a52dbddf25108,BABY DOLL,DOLL
18,0x05155896a1e64975a61b5a26c8a8334e6ad25f7f,US Duck,USED
18,0x0515caa79a3a3e3d8d6dc0bab371704bd1927676,PulsarX,PLSR
18,0x051924f82381aa11ca0d0d5f4c904f098e908d84,swordsman,SWORDSMAN
18,0x051a3adfda081f3191f51e02167a3ee72e1578ff,GraGrachev,Grachev
18,0x051a66a7750098fb1ec6548d36e275bb23749a78,SecureChain AI,SCAI
4,0x051bf25ea45fec37e52d72322cf8d3d7c6e5a966,NakamotoHOi.8.8,Hoi
18,0x051f649651ee8be734bdd16a2814f234d6e4763f,Welsh Corgi Coin,WELSH
5,0x051f9876fead11e788656845778367cf8573be96,Social Intelligent Evolution,SIE
18,0x05204a8f258c3d33545c0e34614d9ddfbe531ab2,sdbfgj,odugh
18,0x05218484fe6b17563e251fef5688fb62517f6820,Love Monster,LOVE
18,0x05233d8d4f781496ff4e5a7ac8927ebfda3ebfed,make raca great again,MRGA
18,0x05243e4e2c041d24408d0751c1031e9b435445da,Bit Gold Coin,BGC
18,0x0525cb0c6cbb13eadb7b17c18bfa7f9bdbacfab1,DEADDOGE,DDGE
18,0x0526c23c5af1b213a499aaa3b5fc8b1a789fa0b6,Zero One,01
18,0x05272ba36317ca4246d13196cb29e11d95164a10,Cz 1000w,Cz 1000w
18,0x05294b9a7ae580766de345dcf13ddf870f7b9c33,yuj,yj
18,0x052bffffcdde58d63c135c3963eeacf46f78adb7,Whitepooltecno,WPT
18,0x052c97e09e0f2c255f79f733089bade54314c12e,dbnjgb,jbdbgv
18,0x052ca84b16b39d797f7e5f8d599a13d91840d4ef,ULTRACOIN FUTURO,ULTCF
18,0x052db720f98e9cb3ad94e765064a90b99a6d9500,BOOGEY,BOOGEY
18,0x0534df4bbecc1bcd796d671a5cebdafd559221d6,Bixocoin ,BIXO
18,0x0535e555a78fbddda78cdef04128b8d7e7b43b54,Blot,BLOT
18,0x05395149f975c7e930d36e5faba8a50969cd23cf,SKRUJJI Network,SKRJJ
18,0x053b61782812f4b5b4b777b42e9c13d79b9a8b48,Bonk V2,BONK2
8,0x053b995e926dfe1c697ffd8c55bda99aa56cf5cd,Binanbot Coin,BNBC
18,0x053d1348d24e32bd4225b0e8c6f636def99d39dc,Lord of Mars Elon Musk,LMIM
18,0x053d6f556a9ebac8ff1c078d9662ddf83a4d2708,Turbomoon,TUM
18,0x053daa01686786b2d04310d8e3e0be793aeb1202,USDTether,USDT
18,0x053e83d8ae58598a0adf2f3b57834d7e811751ec,Paychanger Token,PACH
18,0x053ecc26c681e9ed8270302948ab3d9b542faaac,BabyGrokArmy,BGKA
18,0x053f04af47aecf1246bad415f58ade4406bd3af9,DISTRIBUTED LEDGER TECHNOLOGY,DLT
18,0x053f67f1d69962345f00b818c46fbeebd1471f03,CH,CH
18,0x053fd04824de4b9b548f415b20aee2c967c9a601,SPCEX,SPCEX
