decimals,id,name,symbol
18,0x2c29c2bbdcb8c5de36fa3dbe0e7797b5396b0e61,MyToken,MTK
18,0x2c2bcea49520842335204495607b3cdaad04c2e9,pepperhand,pepperhand
4,0x2c30f4bdb0191b82b5e57c629a5021f96f7375d8,OPENAI,CGPT
18,0x2c323c409590707b555530bd3becb1937e59a4ad,POO,POO
18,0x2c331e2b6a2fa359038ed4bc71f653df00a9c187,TimeToMoney,TMT
18,0x2c336a7a30e1a71cedb2e86d97caa0cdd829fa88,Clank,Bscclanker
18,0x2c339a65808f6c5113161c4e08c3b595cfdac302,RagnarokToken,RAGN
18,0x2c33b6ee05e2e50b129489475ba0b120ba4a5a17,56ssa,das564d
18,0x2c347c170fbb3dcf01499e6e5fe54e265b0576ba,PAPACOIN,PAPAS
18,0x2c35f02952c02aee45a8993cca24a3024a563197,Pepe,PEPE
18,0x2c37d9a0980aea48614b991a1d92fee8e9c5bd98,VUNDIO,VUN
8,0x2c393f4018dd2eb77f2db115268c68d11e8d0b06,PUNDU,PUNDU
2,0x2c3992b3eacd43a6c04cf9d4b29a5bc365a99481,CZ AIBNT2,CABT2
18,0x2c3a306878345484dd3f6f7868698626bd6d59c6,anime grok,animegrok
18,0x2c3d38fdb93c43f482c6b91db57ede1e6f9cf406,QUARKDUCK,QUARKDUK
9,0x2c3d7293ed239178f838bd8ad61739acf1999b95,Dymension,DYM
4,0x2c3e1805fb2be3007a92490926a1751e80a5706d,JupiterPe,JPE
18,0x2c3e36f2a220f0562363f5239c71ff713b26bf5d,Stanley Mask,STMK
18,0x2c3ece7b0af068f7b4f45bb27382d9d58accb388,Whiskers Token,MEOW
18,0x2c4338b42ee27956775d1a67565184375fb9ebe2,FairMint Anglerfish,Anglerfish
18,0x2c447cbb75fe9ee1cd73de1a62338ba9f3fdedb4,MMJ,MMJ
18,0x2c44a7ac04715485ea7cbe99b6f7bf775da2bdfc,cxzcsdf,dsfsv 
18,0x2c44b726adf1963ca47af88b284c06f30380fc78,ConstitutionDAO,PEOPLE
18,0x2c45560bc707f7addb8df848a9ba6cd9f30faeec,Giggle Mascot,Max
18,0x2c45ed839aaefad5d8ea2c01eb1a440ea001e868,JPEG,JPEG
18,0x2c477903ecc691c7e523be1efba88f8198a654ad,BLUE BOTTON,BB
18,0x2c487d0589b8c3366f7d83fa8a5ab5ed3fc85440,Oreo Swirl,OREOFLY
18,0x2c4a69f66ae6894ff03543f26bac9c745209ac47,baa,Aa
18,0x2c4b0aeed87f7e28e17c42bdaf2bc090f48ddb76,Endgame,OVR
18,0x2c4b44cba94b3b316076dfdfbbf363c775a83ea1,YSHIB,YSHIB
18,0x2c4c56549ab5cc78c55ba05d8e8d5df8659e559e,IDK,IDK
18,0x2c4fbd630f40e3b781d1994ed5ff67afe0d73baf,Miles Mart Token ,MMT
18,0x2c5272727153856039ff5db6b974f3d118c7c938,Humster Kombat,HMSTR
18,0x2c5597a2e031316fc66c994c555d5e207bece465,HarrisCoin,harris
18,0x2c55e04ef2ffeda122007eb89f2aebe357ef2ce9,OSKDAO,OSKDAO
18,0x2c577f0f22fdbd3c1d9ce13ace0673f24be98eca,Fe em Deus,FED
18,0x2c57da891f08ff7240c3ac53f2211ba29f4f7c78,GUSD,GUSD
18,0x2c58df849840866c990eb4d34c8981d67bdaa3bb,Loxocoin,Lox
18,0x2c5bda1f2c7b8506cc93dfa8d6e6a1c76fa25740,sharijmochit,Sharij
18,0x2c5dc52f86b12243cb0b5d205ffe05c4c154f92a,Melo cats,Melo
9,0x2c6016298d4c8415cd255d98f1f00d47c40d089a,SQD TOKEN,SQD
18,0x2c619cb8f3f1f3258fee506d525585a83c72efcb,SPNToken,SPN
