id,token0_id,token0_name,token0_symbol,token1_id,token1_name,token1_symbol,txCount,volumeUSD
0x084674e56ef9da82cbbf1fb74f095a4acecca5d4,0x498fe7500c1ae7483f8571cf9030e5b16c7ce12b,GRABOSS,GRABS,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0847f8b7099f62ef0bf37b18d1eaa23be0d275af,0xbadd7f2bdfa7570846b6341b9db078b99721af03,Changpeng Zhao,CZ,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0847fe290c9fc4ac6d1f81e6f9f9b00603362b88,0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,XEN Crypto,bXEN,0xecbce2c13d3a1248debfd23dcc0558b495916756,DRIPX Token,DRIPX,17,0
0x08480deb1c6bd3c0ed18e2284218c06fafec5162,0x332e2e7884524625991ae3a9ac38cdfba9947dff,opsugbu,bsirgf,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0849bebab4077747838c209a43a0e7158d4ebe3f,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0xeae58eff999e1fc097021bfad71257490df80ae6,LPz,LPz,16,2.890578756408778067523079253101701
0x084ae43504854b1b191bef53e2bae3f6c19c5cb0,0x912ed88050369ba85378d4e67990c1593b06cf5e,Freddy,FNAF,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,6,0
0x084dff18a4d11c2b9dc0ebe495fcd6e74c150352,0x31e68b7fff0af5da9d6d4414c007f46fbd58e91a,KTE,KTE,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,29,29221.55565625028279572549426676629
0x084e4958a210ecdd4ae8549f0f1cdaecd658d6ce,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd2b44b1880af08fab2fe14eb551d5f56dac8d636,PETO DONTOL,PETO,5,164.0328448803476348081584278610746
0x084e96b4490e12b4b11cc327866cabb8e9d5f627,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xca84808cccb9d48de875853acf390905354269f3,ghnn,hfdffg,0,0
0x08503617e02ec724a983d4f2e6ea844dfeff93fc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd5d21b98903257ee56c3406ef72a60981ba81703,Book of Baby Memes,BabyBome,228,191.4050054335146826657582457063969
0x0850ecc692ce8c944465ed3e78ae122d15c8e58a,0x0000028a2eb8346cd5c0267856ab7594b7a55308,Zeta,ZETA,0x51aa4adb47ab756829a649541e9add8ad61c8ed8,Wrapped Vertcoin,wVTC,6,0
0x0851faea90c7c45b0568e1be927e3c87901aec21,0x416997d52e29151af336d4c84bc081b6832a8a6b,MEME DOMINATOR COIN,MDC,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,1,0
0x0853a687b41ab8aed596c404c8f8517875d46e7e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xc5000662363f5f4b5ca18ceeb266a94cf9d33a4f,Origin Earth AI,RMUDAI,0,0
0x08557c2c2ecd673be5964a0884dc2ccad5452be4,0xa845d30f9a25f86ae35bdebd64eb0d136f7e8438,dumbbell ,dmbl,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x08558cf8d70f8c6ca18cec0411d4c0de1df1ba0e,0x3bae9321ad6fe7754dd1549ab6edb453a565b711,MCS Network,MCSN,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,27,56.68931554389890075918613714868523
0x0855f72b811e690497c64331180a4fa54d204b50,0x36efacc4f05bb2e81a57302ce126d50250874153,panda panda,PDPD,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,2,0
0x0857cfef882d9bd878d9751b87bae6db6ad3f84c,0x8f0e869c9b7433da5e1e8e9cb46daec509dc5067,LION,LION,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,12,4.576960887229210861751505919795376
0x08591c69a87b1b72e1529869298d9611cf038644,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0xb478c67c8d230d04ac85f0282b9eac5b44c38045,Brawl Token,BRAWL,3,16.9272857473409653411135481702701
0x085b62c843fcdb4bf9f7fad745157bbd375fd821,0x6f706bf804175b48f0ff016144ae1b41cca61683,Meowvante,Meowvante,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x085bb804c0a73528db301efbfcd9145f6e53e51c,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0x84705ce96c0c69052cd5145992d415d4bc1658e2,NOTCOIN,NOTCOIN,2601,1332.259574407223449474371159714198
0x085d1a55110ee8dd8af372275c80f733b64e82d8,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,PancakeSwap Token,Cake,0x99998feb0fa01283b7488f7b1df9e40b67c21f65,Ace,Ace,11,0
0x085d2fe5ad799d692475f63ed31b921885385d4f,0x02f0305aa96e575c2472d9dcfacd2e90096390c0,PepeGPT,PEPE,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,3,0
0x085e1f733169e45ff1028a8b10faa1016468e929,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xef63013216c083a4f35d9c00a64234c839ea44f2,Ninja monga,Ngm,0,0
0x085e37500e8b98d2de5053deb64a358992f37edf,0xb6603121edeb13aee4316190310db59d5481c63c,LegitW3.com,LEGIT,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,11,71.71308184073508724767729972689439
0x085ecb87aba2ae7ffe938e72684244510c208096,0x691b2e339a0164a4f05e098d45f1462396f59a6d,R1TOKEN,R1TOKEN,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x085f751bd6d2f0607de508c3c64bb9d82e36cdaa,0x92f9127aa4378aff2e87a8af57c809bdea1f45d1,HackMessage Gold,HTG,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,64,381.972749818544952229891767460962
0x085fcf238d2f6ce1c0f252cf558774087619bb8c,0x9dafba50b98cedb3ab766f65a9fbde56d081d84a,Neymar,NEY,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,13,32.5364929934725832839882834188655
0x08604227f5888cdec54ee64eb0db6f13f894d956,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd32cbb2fdb48e6e17bcd5aa3d42d9697d622aad5,Stuck Coin,STC,2,0
0x086088dccb52f8f81048201d5fd9ecfc8d5e1dea,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xcf74920c13b7b510da14766878d5e23ea74be592,gnom,GNM,0,0
0x0861470bf9e54298faa3d9ef6359c2b18c60d8a6,0x31a74cb3a8f8b3123187d04c33cb0ddb330eb37a,NEI,NEI,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x08617b66999082fd5c0b754942c38278b122bf3c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xdd2ab39484cc5e10a2ac8a715546fc0d25e2ec95,Cryptopunk meme,PUNK,15,6.19079893517888720180173089598967
0x086237f647161e6669f5b49952ff4733f05be8e2,0x3dfb6e6d5d0053ee05cd86965c211f061621c7ca,CryptoGenie,POWRMIN,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0864e8ca8fb19ce5b5c87068bb8974e4b599ca9f,0x3067db33d87b53b2aa7be198e76a89b5cf91cbdf,RURU,riru,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,3,0.6265286645759706187554633947622885
0x0866e1f0a9f7417492d2d6ecf9539932f236d82d,0x30ef46ecfc7d047810c9143af60072adf18bf01b,SAGA,SAGA,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,17447,78951189.1020431846037830437795152
0x08679ee7068ece03ba1ed5c5d2466beeb392d629,0x12b1a6995dba3c70e06061b6a630ccce66111355,NOFAP,NOFAP,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,21,2264.687376018165345179477427759749
0x0867c35ffbbe6c109268a6aa7daafb1dfb01e2f1,0x08fad444c355de8d1ec39c3e2bb6d64ebe4bcb47,First Mars Pizzeria,REDPIZ,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,20,189.0491968781783229125732104421497
0x0868504fe549efe0ce01dd58b1108fb986e93f9e,0x3a06f38ead4a13ea6a1c7e3dd6519e510837c371,Carabao,Carabao,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0869fabfbff3a66f9a08ffd7272fc34624c2bf15,0x736bba7f68875eaeeb467d85747254fe34ca45b9,CZ BINANACE,CZ,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x086da769d73b378cf6d2f93d70b5ab4a807afa32,0x9277e96b81ac51dace297b01d37e1cdd92d6e785,StreetsOfRageCastlevaniaCallOfDuty,SOR,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,2,0
0x086f5359e3423c3c5be78791a0335d4eff5613b2,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xc43c7245d6711bf45c8c33d9c338016003ab8d13,FineTukin,Tukin,6,4.50929223490254004318676172908084
0x086f9b60916323e0db9e7ffe8cf0ea20a6219e52,0x1b17d71cf0f1e7cb7db4e9b0576bca010d3c2d1a,GROKELONHARRYPOTTERINU,GROKELON,0x2170ed0880ac9a755fd29b2688956bd959f933f8,Ethereum Token,ETH,3,123.6055791128801322711936920196663
0x08737612200de7789bb125238a5aca14190011c0,0x2df2a49e0cf2b4faccf089e522eb6d3b63738e2c,TTMP,TTMP,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,741,3232842.609774410282136128046702318
0x0874d25a565592cc0131aa79af672ecfbcc2ae1f,0x688b6f7b1d4ead8ecf79de0a7d425f3739e72bda,NVW,NVW,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,20,1.662424610164477330757598915985413
0x0874dd487402da4230117c241853c30d189fc0e5,0x46e16bcddeed5d610352df352d11b76b9cbbc6a2,Pepe Coin,PEPE,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,10,168.3785035149532465481623327623006
0x08756fefa0e4262ecb046f52ed18906cbff2a25f,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0xe43341a3d9f3d02411ba89b63f44fd93ad08fd28,KMAI Coin,KCN,2,0
0x0876817b5f3ce2b6d52dd1d18be9e611f09465d9,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xbc9d33b41b578ae3f9051202c7b0fdf905781bb2,X ELON,XELON,2,0
0x087735696861e2af98d7f6fecc931669e4150824,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0xa62b6b66426b0f7f11ace37604def13f24c8630d,RWC,RWC,390,8982.102078864901506504531385916086
0x0878c79072826001a2d4fead38eddb81a1c21a13,0x2a67f585a62f8add079fc9786caccc69b29049b6,LOLcoin,LOL,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x087a4c774270a0d50b41a8fe2c172410c5cd14de,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xf1be29571da5bf9bcf382d1e29a28253c11bc0be,Special Token,SPECIAL,4,0
0x087b099a369d273df52a6bda65223d5f8306345a,0x1a05976593319c02cae6097e1ac53d6405e7118a,bcidkmofv,mkocidhf,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x087b41c11ab6e938ee6d0ee65ff679c8fc0a5db2,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0x86bcc39b1370a1e675463c79bb515addccc59472,FDRO,FDRO,194,532675.7500586666161784071931632721
0x087c7997ae13cbdd337cb05c5895138cdccff0a1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xe88114321e02341fb84971749ccbd23984593fbb,CZ DOG,Namechanger,375,249157.7501033800221314378576058708
0x087e04099e89513cf58da5cf3ed98230828305e6,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0x6d49b51367603baf9f6b7e4a6c78f86753870a7b,Meta Race,MERC,2,0
0x087ee1538e61794f9b601aea9a092b9fc381193e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd1192e052750eb843d71471f84e39336ebb11349,Watch,Watch,2,0
