id,token0_id,token0_name,token0_symbol,token1_id,token1_name,token1_symbol,txCount,volumeUSD
0x14125f50a61e1976a3d2e5d099ecf8e0066f210e,0x781ea2b6bc5502ce2282e5d021144cf81587c800,Maple Story N,MSN,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,4,1.410745264592204846637326610752795
0x1415303e0bc277382651218df2795cf5fcff9a41,0x3ea0cc3c5eebd0a70e8dc3dd8d8a4a4cb4837575,Dojoswap,Babydojo,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,7,28.51332308111330364098432136314395
0x141759e67df91ef0c32199d200b311a4d15fc81e,0x8040839077f4fddddc5d3249ce32b3ad3b779de5,GraPepe,GraPepe,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x141815b223745360a46a214cd0f06334e12065a3,0x1459eede928ad91560d53163e0cc01e6776b96b0,LINCOLN CRYPTO TOKEN,LIC,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,245,175.1376638192643580839343680656708
0x14190085464518d45c7925659aea965fd0d79c23,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd8e9efa1d9da061b4a3f63b02d60b8b7e93b91e6,harrypotterobamasonic10inu,BITCOIN,0,0
0x14199248c0e568891945e619a31597e7214ab38e,0x5fd9d28756a2996b7045233d687cae7f60f3ad74,bfd,dfnb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x1419a8941d11b4a98a1d2c253177f1635bc226e1,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,0x7e9808c731ce79b2dfc18b88e3baad3d115db102,Vexchange,VEX,251,252538.5393088152484252949910207017
0x141a02c6e64d49ce122f63d1fdf9c6d584ab9b7d,0x321a26e9294add82248401fc7b8167bc35962ba3,GRANEIRO,GRANEIRO,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x141abfd6339a3129cb3bffe09fe6f8d29a7f966e,0x65962c06d68f52e99850760809eac90db22403f8,PKN Network,PKN,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,3,6.060555501238032277090430318216875
0x141bc5ef414aca3ff4ca8b8c71a6c8258588a2f2,0x0b24844054c2adf47255042ae67c627f8c4d74aa,Wincoin,Wcn,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,29,8.881210981798437725042157701559597
0x141c94b1c07c006fe3f7cd3692e61f87b3a64f62,0x4c24f33af90db0afb23070d87a6127513faf0e5b,FOUR,CZ,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x141cace1367f9b9a8e24d3c29796da48587fab42,0x3613e5927c7687a3eca52de8fc5d30840d918932,Bdhdhd,Bebshd,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x141d928d14afbb842af6c37c67d806f57d9021c6,0x1139f4a25301c8291f766a1d702e295ff654c2e5,PepeShill,PEPESHILL,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,21,78.19115286613917832392609415790198
0x141dd86eeea8a19a96a8ef8be414a4eca60a3034,0x0d42b58cb1b2df1f5729c46888a2a436ee44048c,Laidback Dude Fails,CHILNOK,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
