decimals,id,name,symbol
18,0x2726d39b64d12e9f3b9bfbfdf7dcdb771a59f8e7,ShibaXDoge,SHIBOGE
18,0x2727d342b49e6ee996d76d6fb136da56f3c73c08,Usagi,USG
18,0x2728075792c5462c22e7d4670e038ac28aa86d35,Byron,Byron 
18,0x2728c49f42f4ac5a38da0080b27ded5ec04b05cc,To the Moon,TTM
9,0x272944e2de449dafe5fb7897e7060e6666666666,ATM,ATM
18,0x272a765bbbbda1aeb36810c994bb0be06f90ec0c,MATRIX,MTX
18,0x272b490668179cc64d8f003cb11d39f2af3b5525,yjyjtryeu,wruru
18,0x2730f0b33cf8b1cb0421906e33b28d3df2f2c027,MEMEZ,MZ3000
8,0x2734d79fbe217015c70be5ee7db5ab031bbccc90,Tether,USDT
18,0x2736e8b15e68a9147123c97c9047c7c4626b084a,TRUMPE,TRUMPEPE
18,0x273921253decb14dc24606e39cbb5418617472f9,PepeNightClub,PEPENC
18,0x273a4d757846b92d5b44fc0f0c446d3cded80836,slothwifshades,SWSC
18,0x273aff26fbe35013f6a2d16f3cd46383b6a95342,CFBNB,CFB
18,0x273bf2e444d74985748858c01dc314498a021847,ajefg,psiprt
18,0x273c5fa01db48fb20fd2bd6f5fa567ec674d29ab,PirateGra,PG
18,0x273c623626f9581b907c756001d3fc9189ec6de9,T2049,2049
18,0x273c7a31aa4900a37e69e047b77cdf044cdea889,DF,FSD2635
18,0x273cd08f52cbfdfdcdd5b8de40f9215a138365ac,Zest Coin,ZEST
18,0x273ed3ce1311593282334daa17ae4bfb275b15f7,Essence of Nature,NTRBEAUT
18,0x2741984d6a381143c745f1f9b4242e4eb2d944cf,UPSD,UPSD
18,0x2741ffb111fd79f7b07876f4f22ccaff7cb7e851,Cocoro,Cocoro
18,0x2742dedd4ba77eb34912ce77c622aaa09856060d,DigiDino,CYBDIN
18,0x27432dbcc6417a03b7682eed7896eeb1033c691f,Mr.beastfun,MBF
6,0x2743831fc4fc72a7ecac2b054fb7fa4ce903e3a8,Departemant1,DEP1
18,0x2743ded21bf15436dc82d16f39a1a4702fff6091,Kamala Harris,Harris
18,0x2744130390b3b007ff84173445fa9e124771c429,Mickey,Mi
6,0x27443b27dfdf632390521c0b8a6fdafe07d8f79f,C4E native asset,C4E
18,0x27444d8d06fde776628888b736029d092822fc17,AIDAO,AIDAO
18,0x2744e54bbe41e4554df541b999f987e49f2de48e,AI Network,GENCOM
18,0x274573ad393f4f12b69627987bdf8e886faa5f1b,Schrodinger,SGR
18,0x27488026f68f9e52977a236d15ea7ebb534e2cd5,Halving Coin,HALV
18,0x2749e5d31241f22c9df2729e6c0aa2f8fc80e58d,GoodByeGarry,GOODB
18,0x274d342e2e6605d5d161b7bb937fbe111b7f67b5,Fluffy Cat,Fluffy
18,0x274f343c00445ededc5060ac1a8de9c7b20abea0,f v,tbb
9,0x2750dc8bd25b4cb13c899568be388154250ea806,Meme Whale,MWHALE
18,0x275384b8a17474e3e130fb6f0faa40df2194e92f,cnfdourhg,nsofgih
18,0x27543e6acd2b5c2fd3af483d79c04604a33fca61,WATER,WATER
18,0x27547440890aef711c6a6da2a3e451361ed1c31a,#bananaape,bananaape
18,0x2754d8cc77ff97a89cb35088cbbf4c7d111cd9bd,CRYPTO SAVIOR,CSAVIOR
18,0x27570ed8111e97bf6cf4b7b2fb70c1b52373f610,MrKrabs,KRABS
18,0x2757c38b6d6fe2b01c6ec140c9a3d46066f287d8,XION,XION
18,0x27584a1d03af8bf9cae7a65ddccd30ff62c787cf,TORUM,XTM
5,0x275ab6e05e20cb3e951a96633e8e1858022f6ee8,ZIMAX,ZMX
18,0x275bc84bdd5709393348df9e150cd8857f6886cc,BNB Guide,BININD
18,0x275bee38e33aa79bd73b0af5ed2180aa914ee4d7,PI INU,PIINU
18,0x275e71df6f2690086b9bd5c3d1381b080730560e,CHEEEZ!,CHEEZ
18,0x275eb91d7a8e1e2cc9fff66a4b48d33b555b1482,TRUMPBULLISH,BULL
18,0x275ee22736484707c1def583a9fe07716751e6e2,Magic Yearn BUSD,myBUSD
18,0x275f2c1661ff3b84637fdbf0469620d78fd0b2bd,rh,rh
18,0x2760659b26eefc35ee92de4a6dc9e68c0d7e06e7,FITBURN,FIT
